"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"22/01/2024 00:00:00 - 22/01/2024 01:00:00","BZN|NO3","Without sequence","27.3","",""
"22/01/2024 01:00:00 - 22/01/2024 02:00:00","BZN|NO3","Without sequence","22.24","",""
"22/01/2024 02:00:00 - 22/01/2024 03:00:00","BZN|NO3","Without sequence","18.62","",""
"22/01/2024 03:00:00 - 22/01/2024 04:00:00","BZN|NO3","Without sequence","9.62","",""
"22/01/2024 04:00:00 - 22/01/2024 05:00:00","BZN|NO3","Without sequence","7.9","",""
"22/01/2024 05:00:00 - 22/01/2024 06:00:00","BZN|NO3","Without sequence","20.0","",""
"22/01/2024 06:00:00 - 22/01/2024 07:00:00","BZN|NO3","Without sequence","26.05","",""
"22/01/2024 07:00:00 - 22/01/2024 08:00:00","BZN|NO3","Without sequence","33.2","",""
"22/01/2024 08:00:00 - 22/01/2024 09:00:00","BZN|NO3","Without sequence","33.08","",""
"22/01/2024 09:00:00 - 22/01/2024 10:00:00","BZN|NO3","Without sequence","32.87","",""
"22/01/2024 10:00:00 - 22/01/2024 11:00:00","BZN|NO3","Without sequence","31.69","",""
"22/01/2024 11:00:00 - 22/01/2024 12:00:00","BZN|NO3","Without sequence","30.87","",""
"22/01/2024 12:00:00 - 22/01/2024 13:00:00","BZN|NO3","Without sequence","31.24","",""
"22/01/2024 13:00:00 - 22/01/2024 14:00:00","BZN|NO3","Without sequence","42.37","",""
"22/01/2024 14:00:00 - 22/01/2024 15:00:00","BZN|NO3","Without sequence","43.21","",""
"22/01/2024 15:00:00 - 22/01/2024 16:00:00","BZN|NO3","Without sequence","45.15","",""
"22/01/2024 16:00:00 - 22/01/2024 17:00:00","BZN|NO3","Without sequence","46.24","",""
"22/01/2024 17:00:00 - 22/01/2024 18:00:00","BZN|NO3","Without sequence","42.89","",""
"22/01/2024 18:00:00 - 22/01/2024 19:00:00","BZN|NO3","Without sequence","42.03","",""
"22/01/2024 19:00:00 - 22/01/2024 20:00:00","BZN|NO3","Without sequence","33.1","",""
"22/01/2024 20:00:00 - 22/01/2024 21:00:00","BZN|NO3","Without sequence","31.41","",""
"22/01/2024 21:00:00 - 22/01/2024 22:00:00","BZN|NO3","Without sequence","28.84","",""
"22/01/2024 22:00:00 - 22/01/2024 23:00:00","BZN|NO3","Without sequence","26.07","",""
"22/01/2024 23:00:00 - 23/01/2024 00:00:00","BZN|NO3","Without sequence","23.03","",""
