"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|NO3","Without sequence","84.88","",""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|NO3","Without sequence","83.2","",""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|NO3","Without sequence","82.03","",""
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|NO3","Without sequence","82.18","",""
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|NO3","Without sequence","82.53","",""
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|NO3","Without sequence","84.13","",""
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|NO3","Without sequence","84.48","",""
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|NO3","Without sequence","87.43","",""
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|NO3","Without sequence","90.87","",""
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|NO3","Without sequence","94.98","",""
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|NO3","Without sequence","100.41","",""
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|NO3","Without sequence","103.65","",""
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|NO3","Without sequence","102.33","",""
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|NO3","Without sequence","97.75","",""
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|NO3","Without sequence","95.51","",""
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|NO3","Without sequence","98.5","",""
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|NO3","Without sequence","110.0","",""
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|NO3","Without sequence","118.27","",""
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|NO3","Without sequence","106.94","",""
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|NO3","Without sequence","102.27","",""
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|NO3","Without sequence","94.98","",""
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|NO3","Without sequence","90.63","",""
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|NO3","Without sequence","89.34","",""
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|NO3","Without sequence","82.8","",""
