"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|NO3","Without sequence","86.15","",""
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|NO3","Without sequence","82.46","",""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|NO3","Without sequence","79.22","",""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|NO3","Without sequence","77.53","",""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|NO3","Without sequence","76.89","",""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|NO3","Without sequence","77.42","",""
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|NO3","Without sequence","78.45","",""
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|NO3","Without sequence","80.37","",""
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|NO3","Without sequence","84.21","",""
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|NO3","Without sequence","87.57","",""
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|NO3","Without sequence","89.75","",""
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|NO3","Without sequence","83.63","",""
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|NO3","Without sequence","76.05","",""
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|NO3","Without sequence","68.0","",""
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|NO3","Without sequence","64.85","",""
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|NO3","Without sequence","63.75","",""
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|NO3","Without sequence","60.26","",""
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|NO3","Without sequence","60.24","",""
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|NO3","Without sequence","60.19","",""
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|NO3","Without sequence","57.21","",""
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|NO3","Without sequence","55.19","",""
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|NO3","Without sequence","59.83","",""
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|NO3","Without sequence","58.35","",""
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|NO3","Without sequence","58.5","",""
