"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"17/01/2024 00:00:00 - 17/01/2024 01:00:00","BZN|NO3","Without sequence","69.89","",""
"17/01/2024 01:00:00 - 17/01/2024 02:00:00","BZN|NO3","Without sequence","69.36","",""
"17/01/2024 02:00:00 - 17/01/2024 03:00:00","BZN|NO3","Without sequence","68.47","",""
"17/01/2024 03:00:00 - 17/01/2024 04:00:00","BZN|NO3","Without sequence","67.56","",""
"17/01/2024 04:00:00 - 17/01/2024 05:00:00","BZN|NO3","Without sequence","67.31","",""
"17/01/2024 05:00:00 - 17/01/2024 06:00:00","BZN|NO3","Without sequence","67.28","",""
"17/01/2024 06:00:00 - 17/01/2024 07:00:00","BZN|NO3","Without sequence","70.65","",""
"17/01/2024 07:00:00 - 17/01/2024 08:00:00","BZN|NO3","Without sequence","79.94","",""
"17/01/2024 08:00:00 - 17/01/2024 09:00:00","BZN|NO3","Without sequence","95.35","",""
"17/01/2024 09:00:00 - 17/01/2024 10:00:00","BZN|NO3","Without sequence","102.87","",""
"17/01/2024 10:00:00 - 17/01/2024 11:00:00","BZN|NO3","Without sequence","106.76","",""
"17/01/2024 11:00:00 - 17/01/2024 12:00:00","BZN|NO3","Without sequence","96.28","",""
"17/01/2024 12:00:00 - 17/01/2024 13:00:00","BZN|NO3","Without sequence","83.97","",""
"17/01/2024 13:00:00 - 17/01/2024 14:00:00","BZN|NO3","Without sequence","78.48","",""
"17/01/2024 14:00:00 - 17/01/2024 15:00:00","BZN|NO3","Without sequence","71.22","",""
"17/01/2024 15:00:00 - 17/01/2024 16:00:00","BZN|NO3","Without sequence","67.45","",""
"17/01/2024 16:00:00 - 17/01/2024 17:00:00","BZN|NO3","Without sequence","69.73","",""
"17/01/2024 17:00:00 - 17/01/2024 18:00:00","BZN|NO3","Without sequence","68.85","",""
"17/01/2024 18:00:00 - 17/01/2024 19:00:00","BZN|NO3","Without sequence","66.82","",""
"17/01/2024 19:00:00 - 17/01/2024 20:00:00","BZN|NO3","Without sequence","70.55","",""
"17/01/2024 20:00:00 - 17/01/2024 21:00:00","BZN|NO3","Without sequence","68.86","",""
"17/01/2024 21:00:00 - 17/01/2024 22:00:00","BZN|NO3","Without sequence","68.36","",""
"17/01/2024 22:00:00 - 17/01/2024 23:00:00","BZN|NO3","Without sequence","67.76","",""
"17/01/2024 23:00:00 - 18/01/2024 00:00:00","BZN|NO3","Without sequence","65.35","",""
