"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"16/01/2024 00:00:00 - 16/01/2024 01:00:00","BZN|NO3","Without sequence","82.19","",""
"16/01/2024 01:00:00 - 16/01/2024 02:00:00","BZN|NO3","Without sequence","81.4","",""
"16/01/2024 02:00:00 - 16/01/2024 03:00:00","BZN|NO3","Without sequence","80.07","",""
"16/01/2024 03:00:00 - 16/01/2024 04:00:00","BZN|NO3","Without sequence","78.26","",""
"16/01/2024 04:00:00 - 16/01/2024 05:00:00","BZN|NO3","Without sequence","77.59","",""
"16/01/2024 05:00:00 - 16/01/2024 06:00:00","BZN|NO3","Without sequence","83.45","",""
"16/01/2024 06:00:00 - 16/01/2024 07:00:00","BZN|NO3","Without sequence","92.57","",""
"16/01/2024 07:00:00 - 16/01/2024 08:00:00","BZN|NO3","Without sequence","100.21","",""
"16/01/2024 08:00:00 - 16/01/2024 09:00:00","BZN|NO3","Without sequence","128.84","",""
"16/01/2024 09:00:00 - 16/01/2024 10:00:00","BZN|NO3","Without sequence","126.06","",""
"16/01/2024 10:00:00 - 16/01/2024 11:00:00","BZN|NO3","Without sequence","108.76","",""
"16/01/2024 11:00:00 - 16/01/2024 12:00:00","BZN|NO3","Without sequence","100.78","",""
"16/01/2024 12:00:00 - 16/01/2024 13:00:00","BZN|NO3","Without sequence","100.43","",""
"16/01/2024 13:00:00 - 16/01/2024 14:00:00","BZN|NO3","Without sequence","94.65","",""
"16/01/2024 14:00:00 - 16/01/2024 15:00:00","BZN|NO3","Without sequence","95.31","",""
"16/01/2024 15:00:00 - 16/01/2024 16:00:00","BZN|NO3","Without sequence","101.57","",""
"16/01/2024 16:00:00 - 16/01/2024 17:00:00","BZN|NO3","Without sequence","108.16","",""
"16/01/2024 17:00:00 - 16/01/2024 18:00:00","BZN|NO3","Without sequence","102.99","",""
"16/01/2024 18:00:00 - 16/01/2024 19:00:00","BZN|NO3","Without sequence","123.62","",""
"16/01/2024 19:00:00 - 16/01/2024 20:00:00","BZN|NO3","Without sequence","111.77","",""
"16/01/2024 20:00:00 - 16/01/2024 21:00:00","BZN|NO3","Without sequence","95.49","",""
"16/01/2024 21:00:00 - 16/01/2024 22:00:00","BZN|NO3","Without sequence","86.21","",""
"16/01/2024 22:00:00 - 16/01/2024 23:00:00","BZN|NO3","Without sequence","82.04","",""
"16/01/2024 23:00:00 - 17/01/2024 00:00:00","BZN|NO3","Without sequence","77.69","",""
