"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"23/01/2024 00:00:00 - 23/01/2024 01:00:00","BZN|NO3","Without sequence","18.45","",""
"23/01/2024 01:00:00 - 23/01/2024 02:00:00","BZN|NO3","Without sequence","19.32","",""
"23/01/2024 02:00:00 - 23/01/2024 03:00:00","BZN|NO3","Without sequence","19.67","",""
"23/01/2024 03:00:00 - 23/01/2024 04:00:00","BZN|NO3","Without sequence","19.88","",""
"23/01/2024 04:00:00 - 23/01/2024 05:00:00","BZN|NO3","Without sequence","19.68","",""
"23/01/2024 05:00:00 - 23/01/2024 06:00:00","BZN|NO3","Without sequence","21.63","",""
"23/01/2024 06:00:00 - 23/01/2024 07:00:00","BZN|NO3","Without sequence","25.73","",""
"23/01/2024 07:00:00 - 23/01/2024 08:00:00","BZN|NO3","Without sequence","29.39","",""
"23/01/2024 08:00:00 - 23/01/2024 09:00:00","BZN|NO3","Without sequence","33.62","",""
"23/01/2024 09:00:00 - 23/01/2024 10:00:00","BZN|NO3","Without sequence","30.82","",""
"23/01/2024 10:00:00 - 23/01/2024 11:00:00","BZN|NO3","Without sequence","29.92","",""
"23/01/2024 11:00:00 - 23/01/2024 12:00:00","BZN|NO3","Without sequence","27.67","",""
"23/01/2024 12:00:00 - 23/01/2024 13:00:00","BZN|NO3","Without sequence","26.58","",""
"23/01/2024 13:00:00 - 23/01/2024 14:00:00","BZN|NO3","Without sequence","26.76","",""
"23/01/2024 14:00:00 - 23/01/2024 15:00:00","BZN|NO3","Without sequence","30.6","",""
"23/01/2024 15:00:00 - 23/01/2024 16:00:00","BZN|NO3","Without sequence","31.86","",""
"23/01/2024 16:00:00 - 23/01/2024 17:00:00","BZN|NO3","Without sequence","43.93","",""
"23/01/2024 17:00:00 - 23/01/2024 18:00:00","BZN|NO3","Without sequence","50.16","",""
"23/01/2024 18:00:00 - 23/01/2024 19:00:00","BZN|NO3","Without sequence","51.65","",""
"23/01/2024 19:00:00 - 23/01/2024 20:00:00","BZN|NO3","Without sequence","54.55","",""
"23/01/2024 20:00:00 - 23/01/2024 21:00:00","BZN|NO3","Without sequence","54.61","",""
"23/01/2024 21:00:00 - 23/01/2024 22:00:00","BZN|NO3","Without sequence","49.22","",""
"23/01/2024 22:00:00 - 23/01/2024 23:00:00","BZN|NO3","Without sequence","42.67","",""
"23/01/2024 23:00:00 - 24/01/2024 00:00:00","BZN|NO3","Without sequence","33.26","",""
