"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|NO3","Without sequence","38.0","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|NO3","Without sequence","33.56","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|NO3","Without sequence","32.03","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|NO3","Without sequence","32.29","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|NO3","Without sequence","36.7","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|NO3","Without sequence","41.72","",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|NO3","Without sequence","49.18","",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|NO3","Without sequence","58.75","",""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|NO3","Without sequence","65.67","",""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|NO3","Without sequence","66.11","",""
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|NO3","Without sequence","68.98","",""
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|NO3","Without sequence","73.54","",""
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|NO3","Without sequence","78.16","",""
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|NO3","Without sequence","78.87","",""
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|NO3","Without sequence","79.24","",""
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|NO3","Without sequence","79.96","",""
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|NO3","Without sequence","81.46","",""
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|NO3","Without sequence","80.92","",""
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|NO3","Without sequence","74.95","",""
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|NO3","Without sequence","63.18","",""
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|NO3","Without sequence","57.11","",""
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|NO3","Without sequence","48.04","",""
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|NO3","Without sequence","45.43","",""
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|NO3","Without sequence","42.5","",""
