"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"31/01/2024 00:00:00 - 31/01/2024 01:00:00","BZN|NO3","Without sequence","18.39","",""
"31/01/2024 01:00:00 - 31/01/2024 02:00:00","BZN|NO3","Without sequence","18.46","",""
"31/01/2024 02:00:00 - 31/01/2024 03:00:00","BZN|NO3","Without sequence","18.5","",""
"31/01/2024 03:00:00 - 31/01/2024 04:00:00","BZN|NO3","Without sequence","18.58","",""
"31/01/2024 04:00:00 - 31/01/2024 05:00:00","BZN|NO3","Without sequence","18.96","",""
"31/01/2024 05:00:00 - 31/01/2024 06:00:00","BZN|NO3","Without sequence","19.39","",""
"31/01/2024 06:00:00 - 31/01/2024 07:00:00","BZN|NO3","Without sequence","21.88","",""
"31/01/2024 07:00:00 - 31/01/2024 08:00:00","BZN|NO3","Without sequence","22.73","",""
"31/01/2024 08:00:00 - 31/01/2024 09:00:00","BZN|NO3","Without sequence","23.23","",""
"31/01/2024 09:00:00 - 31/01/2024 10:00:00","BZN|NO3","Without sequence","22.22","",""
"31/01/2024 10:00:00 - 31/01/2024 11:00:00","BZN|NO3","Without sequence","20.41","",""
"31/01/2024 11:00:00 - 31/01/2024 12:00:00","BZN|NO3","Without sequence","19.12","",""
"31/01/2024 12:00:00 - 31/01/2024 13:00:00","BZN|NO3","Without sequence","18.54","",""
"31/01/2024 13:00:00 - 31/01/2024 14:00:00","BZN|NO3","Without sequence","17.77","",""
"31/01/2024 14:00:00 - 31/01/2024 15:00:00","BZN|NO3","Without sequence","17.03","",""
"31/01/2024 15:00:00 - 31/01/2024 16:00:00","BZN|NO3","Without sequence","16.79","",""
"31/01/2024 16:00:00 - 31/01/2024 17:00:00","BZN|NO3","Without sequence","16.95","",""
"31/01/2024 17:00:00 - 31/01/2024 18:00:00","BZN|NO3","Without sequence","16.69","",""
"31/01/2024 18:00:00 - 31/01/2024 19:00:00","BZN|NO3","Without sequence","16.68","",""
"31/01/2024 19:00:00 - 31/01/2024 20:00:00","BZN|NO3","Without sequence","16.67","",""
"31/01/2024 20:00:00 - 31/01/2024 21:00:00","BZN|NO3","Without sequence","16.73","",""
"31/01/2024 21:00:00 - 31/01/2024 22:00:00","BZN|NO3","Without sequence","16.82","",""
"31/01/2024 22:00:00 - 31/01/2024 23:00:00","BZN|NO3","Without sequence","16.54","",""
"31/01/2024 23:00:00 - 01/02/2024 00:00:00","BZN|NO3","Without sequence","16.04","",""
