"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"14/01/2024 00:00:00 - 14/01/2024 01:00:00","BZN|NO3","Without sequence","64.02","",""
"14/01/2024 01:00:00 - 14/01/2024 02:00:00","BZN|NO3","Without sequence","62.11","",""
"14/01/2024 02:00:00 - 14/01/2024 03:00:00","BZN|NO3","Without sequence","62.93","",""
"14/01/2024 03:00:00 - 14/01/2024 04:00:00","BZN|NO3","Without sequence","64.01","",""
"14/01/2024 04:00:00 - 14/01/2024 05:00:00","BZN|NO3","Without sequence","64.67","",""
"14/01/2024 05:00:00 - 14/01/2024 06:00:00","BZN|NO3","Without sequence","65.2","",""
"14/01/2024 06:00:00 - 14/01/2024 07:00:00","BZN|NO3","Without sequence","67.31","",""
"14/01/2024 07:00:00 - 14/01/2024 08:00:00","BZN|NO3","Without sequence","71.66","",""
"14/01/2024 08:00:00 - 14/01/2024 09:00:00","BZN|NO3","Without sequence","76.74","",""
"14/01/2024 09:00:00 - 14/01/2024 10:00:00","BZN|NO3","Without sequence","81.14","",""
"14/01/2024 10:00:00 - 14/01/2024 11:00:00","BZN|NO3","Without sequence","80.63","",""
"14/01/2024 11:00:00 - 14/01/2024 12:00:00","BZN|NO3","Without sequence","81.84","",""
"14/01/2024 12:00:00 - 14/01/2024 13:00:00","BZN|NO3","Without sequence","80.39","",""
"14/01/2024 13:00:00 - 14/01/2024 14:00:00","BZN|NO3","Without sequence","77.04","",""
"14/01/2024 14:00:00 - 14/01/2024 15:00:00","BZN|NO3","Without sequence","79.15","",""
"14/01/2024 15:00:00 - 14/01/2024 16:00:00","BZN|NO3","Without sequence","80.13","",""
"14/01/2024 16:00:00 - 14/01/2024 17:00:00","BZN|NO3","Without sequence","77.51","",""
"14/01/2024 17:00:00 - 14/01/2024 18:00:00","BZN|NO3","Without sequence","75.05","",""
"14/01/2024 18:00:00 - 14/01/2024 19:00:00","BZN|NO3","Without sequence","74.86","",""
"14/01/2024 19:00:00 - 14/01/2024 20:00:00","BZN|NO3","Without sequence","73.96","",""
"14/01/2024 20:00:00 - 14/01/2024 21:00:00","BZN|NO3","Without sequence","73.86","",""
"14/01/2024 21:00:00 - 14/01/2024 22:00:00","BZN|NO3","Without sequence","73.7","",""
"14/01/2024 22:00:00 - 14/01/2024 23:00:00","BZN|NO3","Without sequence","73.17","",""
"14/01/2024 23:00:00 - 15/01/2024 00:00:00","BZN|NO3","Without sequence","66.89","",""
