"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"30/01/2024 00:00:00 - 30/01/2024 01:00:00","BZN|NO3","Without sequence","16.86","",""
"30/01/2024 01:00:00 - 30/01/2024 02:00:00","BZN|NO3","Without sequence","17.22","",""
"30/01/2024 02:00:00 - 30/01/2024 03:00:00","BZN|NO3","Without sequence","17.64","",""
"30/01/2024 03:00:00 - 30/01/2024 04:00:00","BZN|NO3","Without sequence","18.21","",""
"30/01/2024 04:00:00 - 30/01/2024 05:00:00","BZN|NO3","Without sequence","18.8","",""
"30/01/2024 05:00:00 - 30/01/2024 06:00:00","BZN|NO3","Without sequence","20.22","",""
"30/01/2024 06:00:00 - 30/01/2024 07:00:00","BZN|NO3","Without sequence","22.07","",""
"30/01/2024 07:00:00 - 30/01/2024 08:00:00","BZN|NO3","Without sequence","23.42","",""
"30/01/2024 08:00:00 - 30/01/2024 09:00:00","BZN|NO3","Without sequence","24.1","",""
"30/01/2024 09:00:00 - 30/01/2024 10:00:00","BZN|NO3","Without sequence","26.81","",""
"30/01/2024 10:00:00 - 30/01/2024 11:00:00","BZN|NO3","Without sequence","28.31","",""
"30/01/2024 11:00:00 - 30/01/2024 12:00:00","BZN|NO3","Without sequence","33.7","",""
"30/01/2024 12:00:00 - 30/01/2024 13:00:00","BZN|NO3","Without sequence","33.34","",""
"30/01/2024 13:00:00 - 30/01/2024 14:00:00","BZN|NO3","Without sequence","33.4","",""
"30/01/2024 14:00:00 - 30/01/2024 15:00:00","BZN|NO3","Without sequence","33.31","",""
"30/01/2024 15:00:00 - 30/01/2024 16:00:00","BZN|NO3","Without sequence","31.55","",""
"30/01/2024 16:00:00 - 30/01/2024 17:00:00","BZN|NO3","Without sequence","27.97","",""
"30/01/2024 17:00:00 - 30/01/2024 18:00:00","BZN|NO3","Without sequence","24.59","",""
"30/01/2024 18:00:00 - 30/01/2024 19:00:00","BZN|NO3","Without sequence","25.08","",""
"30/01/2024 19:00:00 - 30/01/2024 20:00:00","BZN|NO3","Without sequence","24.57","",""
"30/01/2024 20:00:00 - 30/01/2024 21:00:00","BZN|NO3","Without sequence","24.05","",""
"30/01/2024 21:00:00 - 30/01/2024 22:00:00","BZN|NO3","Without sequence","23.54","",""
"30/01/2024 22:00:00 - 30/01/2024 23:00:00","BZN|NO3","Without sequence","22.56","",""
"30/01/2024 23:00:00 - 31/01/2024 00:00:00","BZN|NO3","Without sequence","20.74","",""
