"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"26/01/2024 00:00:00 - 26/01/2024 01:00:00","BZN|NO3","Without sequence","42.07","",""
"26/01/2024 01:00:00 - 26/01/2024 02:00:00","BZN|NO3","Without sequence","40.99","",""
"26/01/2024 02:00:00 - 26/01/2024 03:00:00","BZN|NO3","Without sequence","39.79","",""
"26/01/2024 03:00:00 - 26/01/2024 04:00:00","BZN|NO3","Without sequence","38.23","",""
"26/01/2024 04:00:00 - 26/01/2024 05:00:00","BZN|NO3","Without sequence","36.15","",""
"26/01/2024 05:00:00 - 26/01/2024 06:00:00","BZN|NO3","Without sequence","33.0","",""
"26/01/2024 06:00:00 - 26/01/2024 07:00:00","BZN|NO3","Without sequence","34.35","",""
"26/01/2024 07:00:00 - 26/01/2024 08:00:00","BZN|NO3","Without sequence","35.21","",""
"26/01/2024 08:00:00 - 26/01/2024 09:00:00","BZN|NO3","Without sequence","34.8","",""
"26/01/2024 09:00:00 - 26/01/2024 10:00:00","BZN|NO3","Without sequence","36.05","",""
"26/01/2024 10:00:00 - 26/01/2024 11:00:00","BZN|NO3","Without sequence","36.33","",""
"26/01/2024 11:00:00 - 26/01/2024 12:00:00","BZN|NO3","Without sequence","35.2","",""
"26/01/2024 12:00:00 - 26/01/2024 13:00:00","BZN|NO3","Without sequence","35.86","",""
"26/01/2024 13:00:00 - 26/01/2024 14:00:00","BZN|NO3","Without sequence","34.95","",""
"26/01/2024 14:00:00 - 26/01/2024 15:00:00","BZN|NO3","Without sequence","33.06","",""
"26/01/2024 15:00:00 - 26/01/2024 16:00:00","BZN|NO3","Without sequence","32.22","",""
"26/01/2024 16:00:00 - 26/01/2024 17:00:00","BZN|NO3","Without sequence","33.06","",""
"26/01/2024 17:00:00 - 26/01/2024 18:00:00","BZN|NO3","Without sequence","33.06","",""
"26/01/2024 18:00:00 - 26/01/2024 19:00:00","BZN|NO3","Without sequence","35.97","",""
"26/01/2024 19:00:00 - 26/01/2024 20:00:00","BZN|NO3","Without sequence","33.51","",""
"26/01/2024 20:00:00 - 26/01/2024 21:00:00","BZN|NO3","Without sequence","27.58","",""
"26/01/2024 21:00:00 - 26/01/2024 22:00:00","BZN|NO3","Without sequence","25.76","",""
"26/01/2024 22:00:00 - 26/01/2024 23:00:00","BZN|NO3","Without sequence","24.39","",""
"26/01/2024 23:00:00 - 27/01/2024 00:00:00","BZN|NO3","Without sequence","21.98","",""
