"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"29/01/2024 00:00:00 - 29/01/2024 01:00:00","BZN|NO3","Without sequence","2.9","",""
"29/01/2024 01:00:00 - 29/01/2024 02:00:00","BZN|NO3","Without sequence","2.9","",""
"29/01/2024 02:00:00 - 29/01/2024 03:00:00","BZN|NO3","Without sequence","2.61","",""
"29/01/2024 03:00:00 - 29/01/2024 04:00:00","BZN|NO3","Without sequence","2.9","",""
"29/01/2024 04:00:00 - 29/01/2024 05:00:00","BZN|NO3","Without sequence","2.9","",""
"29/01/2024 05:00:00 - 29/01/2024 06:00:00","BZN|NO3","Without sequence","2.9","",""
"29/01/2024 06:00:00 - 29/01/2024 07:00:00","BZN|NO3","Without sequence","5.91","",""
"29/01/2024 07:00:00 - 29/01/2024 08:00:00","BZN|NO3","Without sequence","19.17","",""
"29/01/2024 08:00:00 - 29/01/2024 09:00:00","BZN|NO3","Without sequence","20.56","",""
"29/01/2024 09:00:00 - 29/01/2024 10:00:00","BZN|NO3","Without sequence","21.75","",""
"29/01/2024 10:00:00 - 29/01/2024 11:00:00","BZN|NO3","Without sequence","21.34","",""
"29/01/2024 11:00:00 - 29/01/2024 12:00:00","BZN|NO3","Without sequence","21.08","",""
"29/01/2024 12:00:00 - 29/01/2024 13:00:00","BZN|NO3","Without sequence","20.03","",""
"29/01/2024 13:00:00 - 29/01/2024 14:00:00","BZN|NO3","Without sequence","19.86","",""
"29/01/2024 14:00:00 - 29/01/2024 15:00:00","BZN|NO3","Without sequence","19.52","",""
"29/01/2024 15:00:00 - 29/01/2024 16:00:00","BZN|NO3","Without sequence","19.52","",""
"29/01/2024 16:00:00 - 29/01/2024 17:00:00","BZN|NO3","Without sequence","19.62","",""
"29/01/2024 17:00:00 - 29/01/2024 18:00:00","BZN|NO3","Without sequence","19.87","",""
"29/01/2024 18:00:00 - 29/01/2024 19:00:00","BZN|NO3","Without sequence","19.59","",""
"29/01/2024 19:00:00 - 29/01/2024 20:00:00","BZN|NO3","Without sequence","19.67","",""
"29/01/2024 20:00:00 - 29/01/2024 21:00:00","BZN|NO3","Without sequence","19.49","",""
"29/01/2024 21:00:00 - 29/01/2024 22:00:00","BZN|NO3","Without sequence","19.17","",""
"29/01/2024 22:00:00 - 29/01/2024 23:00:00","BZN|NO3","Without sequence","19.03","",""
"29/01/2024 23:00:00 - 30/01/2024 00:00:00","BZN|NO3","Without sequence","18.93","",""
