"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"20/01/2024 00:00:00 - 20/01/2024 01:00:00","BZN|NO3","Without sequence","67.62","",""
"20/01/2024 01:00:00 - 20/01/2024 02:00:00","BZN|NO3","Without sequence","65.01","",""
"20/01/2024 02:00:00 - 20/01/2024 03:00:00","BZN|NO3","Without sequence","65.1","",""
"20/01/2024 03:00:00 - 20/01/2024 04:00:00","BZN|NO3","Without sequence","63.34","",""
"20/01/2024 04:00:00 - 20/01/2024 05:00:00","BZN|NO3","Without sequence","63.37","",""
"20/01/2024 05:00:00 - 20/01/2024 06:00:00","BZN|NO3","Without sequence","63.26","",""
"20/01/2024 06:00:00 - 20/01/2024 07:00:00","BZN|NO3","Without sequence","64.45","",""
"20/01/2024 07:00:00 - 20/01/2024 08:00:00","BZN|NO3","Without sequence","67.48","",""
"20/01/2024 08:00:00 - 20/01/2024 09:00:00","BZN|NO3","Without sequence","70.84","",""
"20/01/2024 09:00:00 - 20/01/2024 10:00:00","BZN|NO3","Without sequence","75.08","",""
"20/01/2024 10:00:00 - 20/01/2024 11:00:00","BZN|NO3","Without sequence","73.57","",""
"20/01/2024 11:00:00 - 20/01/2024 12:00:00","BZN|NO3","Without sequence","72.51","",""
"20/01/2024 12:00:00 - 20/01/2024 13:00:00","BZN|NO3","Without sequence","69.75","",""
"20/01/2024 13:00:00 - 20/01/2024 14:00:00","BZN|NO3","Without sequence","67.48","",""
"20/01/2024 14:00:00 - 20/01/2024 15:00:00","BZN|NO3","Without sequence","62.86","",""
"20/01/2024 15:00:00 - 20/01/2024 16:00:00","BZN|NO3","Without sequence","57.33","",""
"20/01/2024 16:00:00 - 20/01/2024 17:00:00","BZN|NO3","Without sequence","47.74","",""
"20/01/2024 17:00:00 - 20/01/2024 18:00:00","BZN|NO3","Without sequence","44.91","",""
"20/01/2024 18:00:00 - 20/01/2024 19:00:00","BZN|NO3","Without sequence","43.87","",""
"20/01/2024 19:00:00 - 20/01/2024 20:00:00","BZN|NO3","Without sequence","43.04","",""
"20/01/2024 20:00:00 - 20/01/2024 21:00:00","BZN|NO3","Without sequence","41.7","",""
"20/01/2024 21:00:00 - 20/01/2024 22:00:00","BZN|NO3","Without sequence","39.45","",""
"20/01/2024 22:00:00 - 20/01/2024 23:00:00","BZN|NO3","Without sequence","37.12","",""
"20/01/2024 23:00:00 - 21/01/2024 00:00:00","BZN|NO3","Without sequence","35.78","",""
