"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"25/01/2024 00:00:00 - 25/01/2024 01:00:00","BZN|NO3","Without sequence","43.84","",""
"25/01/2024 01:00:00 - 25/01/2024 02:00:00","BZN|NO3","Without sequence","43.97","",""
"25/01/2024 02:00:00 - 25/01/2024 03:00:00","BZN|NO3","Without sequence","42.76","",""
"25/01/2024 03:00:00 - 25/01/2024 04:00:00","BZN|NO3","Without sequence","43.85","",""
"25/01/2024 04:00:00 - 25/01/2024 05:00:00","BZN|NO3","Without sequence","45.11","",""
"25/01/2024 05:00:00 - 25/01/2024 06:00:00","BZN|NO3","Without sequence","51.01","",""
"25/01/2024 06:00:00 - 25/01/2024 07:00:00","BZN|NO3","Without sequence","59.39","",""
"25/01/2024 07:00:00 - 25/01/2024 08:00:00","BZN|NO3","Without sequence","66.05","",""
"25/01/2024 08:00:00 - 25/01/2024 09:00:00","BZN|NO3","Without sequence","89.02","",""
"25/01/2024 09:00:00 - 25/01/2024 10:00:00","BZN|NO3","Without sequence","85.25","",""
"25/01/2024 10:00:00 - 25/01/2024 11:00:00","BZN|NO3","Without sequence","81.35","",""
"25/01/2024 11:00:00 - 25/01/2024 12:00:00","BZN|NO3","Without sequence","76.22","",""
"25/01/2024 12:00:00 - 25/01/2024 13:00:00","BZN|NO3","Without sequence","72.63","",""
"25/01/2024 13:00:00 - 25/01/2024 14:00:00","BZN|NO3","Without sequence","75.44","",""
"25/01/2024 14:00:00 - 25/01/2024 15:00:00","BZN|NO3","Without sequence","79.56","",""
"25/01/2024 15:00:00 - 25/01/2024 16:00:00","BZN|NO3","Without sequence","68.95","",""
"25/01/2024 16:00:00 - 25/01/2024 17:00:00","BZN|NO3","Without sequence","71.5","",""
"25/01/2024 17:00:00 - 25/01/2024 18:00:00","BZN|NO3","Without sequence","99.24","",""
"25/01/2024 18:00:00 - 25/01/2024 19:00:00","BZN|NO3","Without sequence","111.96","",""
"25/01/2024 19:00:00 - 25/01/2024 20:00:00","BZN|NO3","Without sequence","72.87","",""
"25/01/2024 20:00:00 - 25/01/2024 21:00:00","BZN|NO3","Without sequence","65.33","",""
"25/01/2024 21:00:00 - 25/01/2024 22:00:00","BZN|NO3","Without sequence","62.09","",""
"25/01/2024 22:00:00 - 25/01/2024 23:00:00","BZN|NO3","Without sequence","51.77","",""
"25/01/2024 23:00:00 - 26/01/2024 00:00:00","BZN|NO3","Without sequence","46.75","",""
