"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"12/01/2024 00:00:00 - 12/01/2024 01:00:00","BZN|NO3","Without sequence","44.96","",""
"12/01/2024 01:00:00 - 12/01/2024 02:00:00","BZN|NO3","Without sequence","45.08","",""
"12/01/2024 02:00:00 - 12/01/2024 03:00:00","BZN|NO3","Without sequence","45.02","",""
"12/01/2024 03:00:00 - 12/01/2024 04:00:00","BZN|NO3","Without sequence","44.45","",""
"12/01/2024 04:00:00 - 12/01/2024 05:00:00","BZN|NO3","Without sequence","44.12","",""
"12/01/2024 05:00:00 - 12/01/2024 06:00:00","BZN|NO3","Without sequence","44.18","",""
"12/01/2024 06:00:00 - 12/01/2024 07:00:00","BZN|NO3","Without sequence","43.94","",""
"12/01/2024 07:00:00 - 12/01/2024 08:00:00","BZN|NO3","Without sequence","46.47","",""
"12/01/2024 08:00:00 - 12/01/2024 09:00:00","BZN|NO3","Without sequence","48.26","",""
"12/01/2024 09:00:00 - 12/01/2024 10:00:00","BZN|NO3","Without sequence","49.55","",""
"12/01/2024 10:00:00 - 12/01/2024 11:00:00","BZN|NO3","Without sequence","52.18","",""
"12/01/2024 11:00:00 - 12/01/2024 12:00:00","BZN|NO3","Without sequence","55.68","",""
"12/01/2024 12:00:00 - 12/01/2024 13:00:00","BZN|NO3","Without sequence","62.39","",""
"12/01/2024 13:00:00 - 12/01/2024 14:00:00","BZN|NO3","Without sequence","66.05","",""
"12/01/2024 14:00:00 - 12/01/2024 15:00:00","BZN|NO3","Without sequence","69.63","",""
"12/01/2024 15:00:00 - 12/01/2024 16:00:00","BZN|NO3","Without sequence","70.26","",""
"12/01/2024 16:00:00 - 12/01/2024 17:00:00","BZN|NO3","Without sequence","69.19","",""
"12/01/2024 17:00:00 - 12/01/2024 18:00:00","BZN|NO3","Without sequence","65.11","",""
"12/01/2024 18:00:00 - 12/01/2024 19:00:00","BZN|NO3","Without sequence","63.79","",""
"12/01/2024 19:00:00 - 12/01/2024 20:00:00","BZN|NO3","Without sequence","58.27","",""
"12/01/2024 20:00:00 - 12/01/2024 21:00:00","BZN|NO3","Without sequence","53.82","",""
"12/01/2024 21:00:00 - 12/01/2024 22:00:00","BZN|NO3","Without sequence","49.22","",""
"12/01/2024 22:00:00 - 12/01/2024 23:00:00","BZN|NO3","Without sequence","48.07","",""
"12/01/2024 23:00:00 - 13/01/2024 00:00:00","BZN|NO3","Without sequence","46.13","",""
