"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|NO3","Without sequence","40.8","",""
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|NO3","Without sequence","39.21","",""
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|NO3","Without sequence","37.36","",""
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|NO3","Without sequence","36.17","",""
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|NO3","Without sequence","38.21","",""
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|NO3","Without sequence","42.58","",""
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|NO3","Without sequence","49.44","",""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|NO3","Without sequence","53.53","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|NO3","Without sequence","63.48","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|NO3","Without sequence","64.99","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|NO3","Without sequence","60.19","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|NO3","Without sequence","59.96","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|NO3","Without sequence","59.8","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|NO3","Without sequence","58.86","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|NO3","Without sequence","64.99","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|NO3","Without sequence","68.83","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|NO3","Without sequence","73.59","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|NO3","Without sequence","82.28","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|NO3","Without sequence","82.97","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|NO3","Without sequence","79.03","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|NO3","Without sequence","73.23","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|NO3","Without sequence","67.41","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|NO3","Without sequence","65.0","",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|NO3","Without sequence","58.12","",""
