"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|NO3","Without sequence","50.99","",""
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|NO3","Without sequence","49.5","",""
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|NO3","Without sequence","47.41","",""
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|NO3","Without sequence","44.97","",""
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|NO3","Without sequence","41.97","",""
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|NO3","Without sequence","40.01","",""
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|NO3","Without sequence","41.92","",""
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|NO3","Without sequence","46.51","",""
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|NO3","Without sequence","49.35","",""
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|NO3","Without sequence","51.37","",""
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|NO3","Without sequence","51.35","",""
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|NO3","Without sequence","50.49","",""
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|NO3","Without sequence","50.57","",""
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|NO3","Without sequence","50.38","",""
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|NO3","Without sequence","50.08","",""
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|NO3","Without sequence","49.96","",""
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|NO3","Without sequence","50.29","",""
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|NO3","Without sequence","49.17","",""
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|NO3","Without sequence","50.14","",""
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|NO3","Without sequence","49.64","",""
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|NO3","Without sequence","49.42","",""
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|NO3","Without sequence","46.85","",""
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|NO3","Without sequence","44.9","",""
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|NO3","Without sequence","42.91","",""
