"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"15/01/2024 00:00:00 - 15/01/2024 01:00:00","BZN|NO3","Without sequence","69.65","",""
"15/01/2024 01:00:00 - 15/01/2024 02:00:00","BZN|NO3","Without sequence","67.08","",""
"15/01/2024 02:00:00 - 15/01/2024 03:00:00","BZN|NO3","Without sequence","65.98","",""
"15/01/2024 03:00:00 - 15/01/2024 04:00:00","BZN|NO3","Without sequence","64.03","",""
"15/01/2024 04:00:00 - 15/01/2024 05:00:00","BZN|NO3","Without sequence","64.93","",""
"15/01/2024 05:00:00 - 15/01/2024 06:00:00","BZN|NO3","Without sequence","70.57","",""
"15/01/2024 06:00:00 - 15/01/2024 07:00:00","BZN|NO3","Without sequence","79.95","",""
"15/01/2024 07:00:00 - 15/01/2024 08:00:00","BZN|NO3","Without sequence","83.84","",""
"15/01/2024 08:00:00 - 15/01/2024 09:00:00","BZN|NO3","Without sequence","99.3","",""
"15/01/2024 09:00:00 - 15/01/2024 10:00:00","BZN|NO3","Without sequence","99.99","",""
"15/01/2024 10:00:00 - 15/01/2024 11:00:00","BZN|NO3","Without sequence","94.88","",""
"15/01/2024 11:00:00 - 15/01/2024 12:00:00","BZN|NO3","Without sequence","90.26","",""
"15/01/2024 12:00:00 - 15/01/2024 13:00:00","BZN|NO3","Without sequence","85.4","",""
"15/01/2024 13:00:00 - 15/01/2024 14:00:00","BZN|NO3","Without sequence","82.15","",""
"15/01/2024 14:00:00 - 15/01/2024 15:00:00","BZN|NO3","Without sequence","84.88","",""
"15/01/2024 15:00:00 - 15/01/2024 16:00:00","BZN|NO3","Without sequence","89.44","",""
"15/01/2024 16:00:00 - 15/01/2024 17:00:00","BZN|NO3","Without sequence","97.02","",""
"15/01/2024 17:00:00 - 15/01/2024 18:00:00","BZN|NO3","Without sequence","100.69","",""
"15/01/2024 18:00:00 - 15/01/2024 19:00:00","BZN|NO3","Without sequence","99.37","",""
"15/01/2024 19:00:00 - 15/01/2024 20:00:00","BZN|NO3","Without sequence","94.28","",""
"15/01/2024 20:00:00 - 15/01/2024 21:00:00","BZN|NO3","Without sequence","94.99","",""
"15/01/2024 21:00:00 - 15/01/2024 22:00:00","BZN|NO3","Without sequence","88.71","",""
"15/01/2024 22:00:00 - 15/01/2024 23:00:00","BZN|NO3","Without sequence","86.9","",""
"15/01/2024 23:00:00 - 16/01/2024 00:00:00","BZN|NO3","Without sequence","85.74","",""
