"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|NO3","Without sequence","54.06","",""
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|NO3","Without sequence","54.26","",""
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|NO3","Without sequence","54.72","",""
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|NO3","Without sequence","54.99","",""
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|NO3","Without sequence","56.11","",""
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|NO3","Without sequence","58.13","",""
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|NO3","Without sequence","55.01","",""
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|NO3","Without sequence","63.68","",""
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|NO3","Without sequence","66.2","",""
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|NO3","Without sequence","65.09","",""
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|NO3","Without sequence","59.66","",""
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|NO3","Without sequence","55.71","",""
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|NO3","Without sequence","54.59","",""
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|NO3","Without sequence","52.8","",""
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|NO3","Without sequence","52.12","",""
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|NO3","Without sequence","50.55","",""
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|NO3","Without sequence","50.52","",""
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|NO3","Without sequence","49.2","",""
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|NO3","Without sequence","47.14","",""
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|NO3","Without sequence","47.01","",""
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|NO3","Without sequence","46.76","",""
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|NO3","Without sequence","47.87","",""
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|NO3","Without sequence","48.23","",""
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|NO3","Without sequence","47.65","",""
