"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|NO3","Without sequence","88.83","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|NO3","Without sequence","83.09","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|NO3","Without sequence","80.0","",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|NO3","Without sequence","80.17","",""
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|NO3","Without sequence","82.49","",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|NO3","Without sequence","88.14","",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|NO3","Without sequence","109.79","",""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|NO3","Without sequence","165.01","",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|NO3","Without sequence","199.27","",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|NO3","Without sequence","238.31","",""
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|NO3","Without sequence","255.86","",""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|NO3","Without sequence","211.11","",""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|NO3","Without sequence","203.28","",""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|NO3","Without sequence","196.98","",""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|NO3","Without sequence","197.86","",""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|NO3","Without sequence","299.94","",""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|NO3","Without sequence","449.64","",""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|NO3","Without sequence","526.25","",""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|NO3","Without sequence","349.95","",""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|NO3","Without sequence","181.91","",""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|NO3","Without sequence","149.6","",""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|NO3","Without sequence","112.82","",""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|NO3","Without sequence","100.1","",""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|NO3","Without sequence","92.87","",""
