"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"24/01/2024 00:00:00 - 24/01/2024 01:00:00","BZN|NO3","Without sequence","28.61","",""
"24/01/2024 01:00:00 - 24/01/2024 02:00:00","BZN|NO3","Without sequence","25.17","",""
"24/01/2024 02:00:00 - 24/01/2024 03:00:00","BZN|NO3","Without sequence","20.64","",""
"24/01/2024 03:00:00 - 24/01/2024 04:00:00","BZN|NO3","Without sequence","18.82","",""
"24/01/2024 04:00:00 - 24/01/2024 05:00:00","BZN|NO3","Without sequence","18.61","",""
"24/01/2024 05:00:00 - 24/01/2024 06:00:00","BZN|NO3","Without sequence","19.55","",""
"24/01/2024 06:00:00 - 24/01/2024 07:00:00","BZN|NO3","Without sequence","25.5","",""
"24/01/2024 07:00:00 - 24/01/2024 08:00:00","BZN|NO3","Without sequence","38.73","",""
"24/01/2024 08:00:00 - 24/01/2024 09:00:00","BZN|NO3","Without sequence","49.43","",""
"24/01/2024 09:00:00 - 24/01/2024 10:00:00","BZN|NO3","Without sequence","49.54","",""
"24/01/2024 10:00:00 - 24/01/2024 11:00:00","BZN|NO3","Without sequence","50.1","",""
"24/01/2024 11:00:00 - 24/01/2024 12:00:00","BZN|NO3","Without sequence","50.76","",""
"24/01/2024 12:00:00 - 24/01/2024 13:00:00","BZN|NO3","Without sequence","46.77","",""
"24/01/2024 13:00:00 - 24/01/2024 14:00:00","BZN|NO3","Without sequence","48.39","",""
"24/01/2024 14:00:00 - 24/01/2024 15:00:00","BZN|NO3","Without sequence","49.35","",""
"24/01/2024 15:00:00 - 24/01/2024 16:00:00","BZN|NO3","Without sequence","49.95","",""
"24/01/2024 16:00:00 - 24/01/2024 17:00:00","BZN|NO3","Without sequence","50.8","",""
"24/01/2024 17:00:00 - 24/01/2024 18:00:00","BZN|NO3","Without sequence","54.21","",""
"24/01/2024 18:00:00 - 24/01/2024 19:00:00","BZN|NO3","Without sequence","50.79","",""
"24/01/2024 19:00:00 - 24/01/2024 20:00:00","BZN|NO3","Without sequence","49.48","",""
"24/01/2024 20:00:00 - 24/01/2024 21:00:00","BZN|NO3","Without sequence","42.18","",""
"24/01/2024 21:00:00 - 24/01/2024 22:00:00","BZN|NO3","Without sequence","40.04","",""
"24/01/2024 22:00:00 - 24/01/2024 23:00:00","BZN|NO3","Without sequence","42.01","",""
"24/01/2024 23:00:00 - 25/01/2024 00:00:00","BZN|NO3","Without sequence","38.53","",""
