"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"27/01/2024 00:00:00 - 27/01/2024 01:00:00","BZN|NO3","Without sequence","19.32","",""
"27/01/2024 01:00:00 - 27/01/2024 02:00:00","BZN|NO3","Without sequence","18.26","",""
"27/01/2024 02:00:00 - 27/01/2024 03:00:00","BZN|NO3","Without sequence","17.63","",""
"27/01/2024 03:00:00 - 27/01/2024 04:00:00","BZN|NO3","Without sequence","18.02","",""
"27/01/2024 04:00:00 - 27/01/2024 05:00:00","BZN|NO3","Without sequence","18.49","",""
"27/01/2024 05:00:00 - 27/01/2024 06:00:00","BZN|NO3","Without sequence","18.84","",""
"27/01/2024 06:00:00 - 27/01/2024 07:00:00","BZN|NO3","Without sequence","19.41","",""
"27/01/2024 07:00:00 - 27/01/2024 08:00:00","BZN|NO3","Without sequence","20.71","",""
"27/01/2024 08:00:00 - 27/01/2024 09:00:00","BZN|NO3","Without sequence","21.0","",""
"27/01/2024 09:00:00 - 27/01/2024 10:00:00","BZN|NO3","Without sequence","21.03","",""
"27/01/2024 10:00:00 - 27/01/2024 11:00:00","BZN|NO3","Without sequence","21.13","",""
"27/01/2024 11:00:00 - 27/01/2024 12:00:00","BZN|NO3","Without sequence","21.02","",""
"27/01/2024 12:00:00 - 27/01/2024 13:00:00","BZN|NO3","Without sequence","20.53","",""
"27/01/2024 13:00:00 - 27/01/2024 14:00:00","BZN|NO3","Without sequence","20.08","",""
"27/01/2024 14:00:00 - 27/01/2024 15:00:00","BZN|NO3","Without sequence","20.03","",""
"27/01/2024 15:00:00 - 27/01/2024 16:00:00","BZN|NO3","Without sequence","20.17","",""
"27/01/2024 16:00:00 - 27/01/2024 17:00:00","BZN|NO3","Without sequence","20.33","",""
"27/01/2024 17:00:00 - 27/01/2024 18:00:00","BZN|NO3","Without sequence","20.67","",""
"27/01/2024 18:00:00 - 27/01/2024 19:00:00","BZN|NO3","Without sequence","20.41","",""
"27/01/2024 19:00:00 - 27/01/2024 20:00:00","BZN|NO3","Without sequence","18.62","",""
"27/01/2024 20:00:00 - 27/01/2024 21:00:00","BZN|NO3","Without sequence","15.13","",""
"27/01/2024 21:00:00 - 27/01/2024 22:00:00","BZN|NO3","Without sequence","10.14","",""
"27/01/2024 22:00:00 - 27/01/2024 23:00:00","BZN|NO3","Without sequence","4.57","",""
"27/01/2024 23:00:00 - 28/01/2024 00:00:00","BZN|NO3","Without sequence","3.67","",""
