"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"19/01/2024 00:00:00 - 19/01/2024 01:00:00","BZN|NO3","Without sequence","52.93","",""
"19/01/2024 01:00:00 - 19/01/2024 02:00:00","BZN|NO3","Without sequence","51.0","",""
"19/01/2024 02:00:00 - 19/01/2024 03:00:00","BZN|NO3","Without sequence","49.91","",""
"19/01/2024 03:00:00 - 19/01/2024 04:00:00","BZN|NO3","Without sequence","49.82","",""
"19/01/2024 04:00:00 - 19/01/2024 05:00:00","BZN|NO3","Without sequence","50.89","",""
"19/01/2024 05:00:00 - 19/01/2024 06:00:00","BZN|NO3","Without sequence","54.35","",""
"19/01/2024 06:00:00 - 19/01/2024 07:00:00","BZN|NO3","Without sequence","53.15","",""
"19/01/2024 07:00:00 - 19/01/2024 08:00:00","BZN|NO3","Without sequence","61.9","",""
"19/01/2024 08:00:00 - 19/01/2024 09:00:00","BZN|NO3","Without sequence","66.02","",""
"19/01/2024 09:00:00 - 19/01/2024 10:00:00","BZN|NO3","Without sequence","67.33","",""
"19/01/2024 10:00:00 - 19/01/2024 11:00:00","BZN|NO3","Without sequence","68.32","",""
"19/01/2024 11:00:00 - 19/01/2024 12:00:00","BZN|NO3","Without sequence","72.13","",""
"19/01/2024 12:00:00 - 19/01/2024 13:00:00","BZN|NO3","Without sequence","74.59","",""
"19/01/2024 13:00:00 - 19/01/2024 14:00:00","BZN|NO3","Without sequence","75.15","",""
"19/01/2024 14:00:00 - 19/01/2024 15:00:00","BZN|NO3","Without sequence","76.91","",""
"19/01/2024 15:00:00 - 19/01/2024 16:00:00","BZN|NO3","Without sequence","80.16","",""
"19/01/2024 16:00:00 - 19/01/2024 17:00:00","BZN|NO3","Without sequence","89.73","",""
"19/01/2024 17:00:00 - 19/01/2024 18:00:00","BZN|NO3","Without sequence","106.59","",""
"19/01/2024 18:00:00 - 19/01/2024 19:00:00","BZN|NO3","Without sequence","108.49","",""
"19/01/2024 19:00:00 - 19/01/2024 20:00:00","BZN|NO3","Without sequence","85.1","",""
"19/01/2024 20:00:00 - 19/01/2024 21:00:00","BZN|NO3","Without sequence","75.82","",""
"19/01/2024 21:00:00 - 19/01/2024 22:00:00","BZN|NO3","Without sequence","73.01","",""
"19/01/2024 22:00:00 - 19/01/2024 23:00:00","BZN|NO3","Without sequence","70.69","",""
"19/01/2024 23:00:00 - 20/01/2024 00:00:00","BZN|NO3","Without sequence","66.69","",""
