"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"28/01/2024 00:00:00 - 28/01/2024 01:00:00","BZN|NO3","Without sequence","3.0","",""
"28/01/2024 01:00:00 - 28/01/2024 02:00:00","BZN|NO3","Without sequence","3.21","",""
"28/01/2024 02:00:00 - 28/01/2024 03:00:00","BZN|NO3","Without sequence","3.57","",""
"28/01/2024 03:00:00 - 28/01/2024 04:00:00","BZN|NO3","Without sequence","11.48","",""
"28/01/2024 04:00:00 - 28/01/2024 05:00:00","BZN|NO3","Without sequence","15.05","",""
"28/01/2024 05:00:00 - 28/01/2024 06:00:00","BZN|NO3","Without sequence","16.34","",""
"28/01/2024 06:00:00 - 28/01/2024 07:00:00","BZN|NO3","Without sequence","18.22","",""
"28/01/2024 07:00:00 - 28/01/2024 08:00:00","BZN|NO3","Without sequence","18.76","",""
"28/01/2024 08:00:00 - 28/01/2024 09:00:00","BZN|NO3","Without sequence","18.55","",""
"28/01/2024 09:00:00 - 28/01/2024 10:00:00","BZN|NO3","Without sequence","18.66","",""
"28/01/2024 10:00:00 - 28/01/2024 11:00:00","BZN|NO3","Without sequence","18.64","",""
"28/01/2024 11:00:00 - 28/01/2024 12:00:00","BZN|NO3","Without sequence","18.73","",""
"28/01/2024 12:00:00 - 28/01/2024 13:00:00","BZN|NO3","Without sequence","18.49","",""
"28/01/2024 13:00:00 - 28/01/2024 14:00:00","BZN|NO3","Without sequence","18.05","",""
"28/01/2024 14:00:00 - 28/01/2024 15:00:00","BZN|NO3","Without sequence","16.91","",""
"28/01/2024 15:00:00 - 28/01/2024 16:00:00","BZN|NO3","Without sequence","17.91","",""
"28/01/2024 16:00:00 - 28/01/2024 17:00:00","BZN|NO3","Without sequence","18.42","",""
"28/01/2024 17:00:00 - 28/01/2024 18:00:00","BZN|NO3","Without sequence","18.26","",""
"28/01/2024 18:00:00 - 28/01/2024 19:00:00","BZN|NO3","Without sequence","18.16","",""
"28/01/2024 19:00:00 - 28/01/2024 20:00:00","BZN|NO3","Without sequence","13.42","",""
"28/01/2024 20:00:00 - 28/01/2024 21:00:00","BZN|NO3","Without sequence","3.71","",""
"28/01/2024 21:00:00 - 28/01/2024 22:00:00","BZN|NO3","Without sequence","3.2","",""
"28/01/2024 22:00:00 - 28/01/2024 23:00:00","BZN|NO3","Without sequence","2.91","",""
"28/01/2024 23:00:00 - 29/01/2024 00:00:00","BZN|NO3","Without sequence","2.9","",""
