"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"21/01/2024 00:00:00 - 21/01/2024 01:00:00","BZN|NO3","Without sequence","34.78","",""
"21/01/2024 01:00:00 - 21/01/2024 02:00:00","BZN|NO3","Without sequence","34.73","",""
"21/01/2024 02:00:00 - 21/01/2024 03:00:00","BZN|NO3","Without sequence","34.64","",""
"21/01/2024 03:00:00 - 21/01/2024 04:00:00","BZN|NO3","Without sequence","34.4","",""
"21/01/2024 04:00:00 - 21/01/2024 05:00:00","BZN|NO3","Without sequence","34.28","",""
"21/01/2024 05:00:00 - 21/01/2024 06:00:00","BZN|NO3","Without sequence","34.61","",""
"21/01/2024 06:00:00 - 21/01/2024 07:00:00","BZN|NO3","Without sequence","34.3","",""
"21/01/2024 07:00:00 - 21/01/2024 08:00:00","BZN|NO3","Without sequence","34.98","",""
"21/01/2024 08:00:00 - 21/01/2024 09:00:00","BZN|NO3","Without sequence","34.83","",""
"21/01/2024 09:00:00 - 21/01/2024 10:00:00","BZN|NO3","Without sequence","35.58","",""
"21/01/2024 10:00:00 - 21/01/2024 11:00:00","BZN|NO3","Without sequence","36.88","",""
"21/01/2024 11:00:00 - 21/01/2024 12:00:00","BZN|NO3","Without sequence","37.8","",""
"21/01/2024 12:00:00 - 21/01/2024 13:00:00","BZN|NO3","Without sequence","37.31","",""
"21/01/2024 13:00:00 - 21/01/2024 14:00:00","BZN|NO3","Without sequence","36.78","",""
"21/01/2024 14:00:00 - 21/01/2024 15:00:00","BZN|NO3","Without sequence","37.04","",""
"21/01/2024 15:00:00 - 21/01/2024 16:00:00","BZN|NO3","Without sequence","37.53","",""
"21/01/2024 16:00:00 - 21/01/2024 17:00:00","BZN|NO3","Without sequence","37.41","",""
"21/01/2024 17:00:00 - 21/01/2024 18:00:00","BZN|NO3","Without sequence","35.92","",""
"21/01/2024 18:00:00 - 21/01/2024 19:00:00","BZN|NO3","Without sequence","35.53","",""
"21/01/2024 19:00:00 - 21/01/2024 20:00:00","BZN|NO3","Without sequence","34.96","",""
"21/01/2024 20:00:00 - 21/01/2024 21:00:00","BZN|NO3","Without sequence","34.67","",""
"21/01/2024 21:00:00 - 21/01/2024 22:00:00","BZN|NO3","Without sequence","41.67","",""
"21/01/2024 22:00:00 - 21/01/2024 23:00:00","BZN|NO3","Without sequence","40.99","",""
"21/01/2024 23:00:00 - 22/01/2024 00:00:00","BZN|NO3","Without sequence","29.03","",""
