"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|NO3","Without sequence","58.71","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|NO3","Without sequence","53.6","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|NO3","Without sequence","54.44","",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|NO3","Without sequence","55.18","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|NO3","Without sequence","58.25","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|NO3","Without sequence","59.15","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|NO3","Without sequence","72.65","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|NO3","Without sequence","85.02","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|NO3","Without sequence","91.47","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|NO3","Without sequence","94.2","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|NO3","Without sequence","91.98","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|NO3","Without sequence","90.4","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|NO3","Without sequence","86.69","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|NO3","Without sequence","85.96","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|NO3","Without sequence","92.11","",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|NO3","Without sequence","98.62","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|NO3","Without sequence","105.73","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|NO3","Without sequence","133.23","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|NO3","Without sequence","144.65","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|NO3","Without sequence","121.37","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|NO3","Without sequence","100.58","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|NO3","Without sequence","97.11","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|NO3","Without sequence","94.28","",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|NO3","Without sequence","88.83","",""
