"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"18/01/2024 00:00:00 - 18/01/2024 01:00:00","BZN|NO3","Without sequence","65.93","",""
"18/01/2024 01:00:00 - 18/01/2024 02:00:00","BZN|NO3","Without sequence","64.12","",""
"18/01/2024 02:00:00 - 18/01/2024 03:00:00","BZN|NO3","Without sequence","62.95","",""
"18/01/2024 03:00:00 - 18/01/2024 04:00:00","BZN|NO3","Without sequence","62.15","",""
"18/01/2024 04:00:00 - 18/01/2024 05:00:00","BZN|NO3","Without sequence","54.47","",""
"18/01/2024 05:00:00 - 18/01/2024 06:00:00","BZN|NO3","Without sequence","58.03","",""
"18/01/2024 06:00:00 - 18/01/2024 07:00:00","BZN|NO3","Without sequence","65.74","",""
"18/01/2024 07:00:00 - 18/01/2024 08:00:00","BZN|NO3","Without sequence","68.97","",""
"18/01/2024 08:00:00 - 18/01/2024 09:00:00","BZN|NO3","Without sequence","73.14","",""
"18/01/2024 09:00:00 - 18/01/2024 10:00:00","BZN|NO3","Without sequence","71.98","",""
"18/01/2024 10:00:00 - 18/01/2024 11:00:00","BZN|NO3","Without sequence","69.59","",""
"18/01/2024 11:00:00 - 18/01/2024 12:00:00","BZN|NO3","Without sequence","68.31","",""
"18/01/2024 12:00:00 - 18/01/2024 13:00:00","BZN|NO3","Without sequence","67.17","",""
"18/01/2024 13:00:00 - 18/01/2024 14:00:00","BZN|NO3","Without sequence","65.74","",""
"18/01/2024 14:00:00 - 18/01/2024 15:00:00","BZN|NO3","Without sequence","63.84","",""
"18/01/2024 15:00:00 - 18/01/2024 16:00:00","BZN|NO3","Without sequence","63.91","",""
"18/01/2024 16:00:00 - 18/01/2024 17:00:00","BZN|NO3","Without sequence","64.82","",""
"18/01/2024 17:00:00 - 18/01/2024 18:00:00","BZN|NO3","Without sequence","64.69","",""
"18/01/2024 18:00:00 - 18/01/2024 19:00:00","BZN|NO3","Without sequence","64.23","",""
"18/01/2024 19:00:00 - 18/01/2024 20:00:00","BZN|NO3","Without sequence","61.79","",""
"18/01/2024 20:00:00 - 18/01/2024 21:00:00","BZN|NO3","Without sequence","58.99","",""
"18/01/2024 21:00:00 - 18/01/2024 22:00:00","BZN|NO3","Without sequence","63.1","",""
"18/01/2024 22:00:00 - 18/01/2024 23:00:00","BZN|NO3","Without sequence","59.72","",""
"18/01/2024 23:00:00 - 19/01/2024 00:00:00","BZN|NO3","Without sequence","59.33","",""
