"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|NO3","Without sequence","37.83","",""
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|NO3","Without sequence","38.5","",""
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|NO3","Without sequence","40.75","",""
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|NO3","Without sequence","44.46","",""
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|NO3","Without sequence","50.31","",""
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|NO3","Without sequence","51.98","",""
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|NO3","Without sequence","58.95","",""
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|NO3","Without sequence","70.06","",""
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|NO3","Without sequence","71.92","",""
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|NO3","Without sequence","71.64","",""
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|NO3","Without sequence","72.16","",""
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|NO3","Without sequence","74.91","",""
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|NO3","Without sequence","73.37","",""
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|NO3","Without sequence","73.69","",""
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","BZN|NO3","Without sequence","73.82","",""
"11/01/2024 15:00:00 - 11/01/2024 16:00:00","BZN|NO3","Without sequence","71.03","",""
"11/01/2024 16:00:00 - 11/01/2024 17:00:00","BZN|NO3","Without sequence","62.89","",""
"11/01/2024 17:00:00 - 11/01/2024 18:00:00","BZN|NO3","Without sequence","59.44","",""
"11/01/2024 18:00:00 - 11/01/2024 19:00:00","BZN|NO3","Without sequence","59.21","",""
"11/01/2024 19:00:00 - 11/01/2024 20:00:00","BZN|NO3","Without sequence","54.19","",""
"11/01/2024 20:00:00 - 11/01/2024 21:00:00","BZN|NO3","Without sequence","49.58","",""
"11/01/2024 21:00:00 - 11/01/2024 22:00:00","BZN|NO3","Without sequence","46.31","",""
"11/01/2024 22:00:00 - 11/01/2024 23:00:00","BZN|NO3","Without sequence","43.9","",""
"11/01/2024 23:00:00 - 12/01/2024 00:00:00","BZN|NO3","Without sequence","42.01","",""
