"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"13/01/2024 00:00:00 - 13/01/2024 01:00:00","BZN|NO3","Without sequence","49.69","",""
"13/01/2024 01:00:00 - 13/01/2024 02:00:00","BZN|NO3","Without sequence","46.63","",""
"13/01/2024 02:00:00 - 13/01/2024 03:00:00","BZN|NO3","Without sequence","44.0","",""
"13/01/2024 03:00:00 - 13/01/2024 04:00:00","BZN|NO3","Without sequence","42.47","",""
"13/01/2024 04:00:00 - 13/01/2024 05:00:00","BZN|NO3","Without sequence","42.54","",""
"13/01/2024 05:00:00 - 13/01/2024 06:00:00","BZN|NO3","Without sequence","43.53","",""
"13/01/2024 06:00:00 - 13/01/2024 07:00:00","BZN|NO3","Without sequence","45.62","",""
"13/01/2024 07:00:00 - 13/01/2024 08:00:00","BZN|NO3","Without sequence","51.2","",""
"13/01/2024 08:00:00 - 13/01/2024 09:00:00","BZN|NO3","Without sequence","57.93","",""
"13/01/2024 09:00:00 - 13/01/2024 10:00:00","BZN|NO3","Without sequence","59.17","",""
"13/01/2024 10:00:00 - 13/01/2024 11:00:00","BZN|NO3","Without sequence","59.21","",""
"13/01/2024 11:00:00 - 13/01/2024 12:00:00","BZN|NO3","Without sequence","58.37","",""
"13/01/2024 12:00:00 - 13/01/2024 13:00:00","BZN|NO3","Without sequence","56.2","",""
"13/01/2024 13:00:00 - 13/01/2024 14:00:00","BZN|NO3","Without sequence","56.36","",""
"13/01/2024 14:00:00 - 13/01/2024 15:00:00","BZN|NO3","Without sequence","59.17","",""
"13/01/2024 15:00:00 - 13/01/2024 16:00:00","BZN|NO3","Without sequence","65.73","",""
"13/01/2024 16:00:00 - 13/01/2024 17:00:00","BZN|NO3","Without sequence","65.69","",""
"13/01/2024 17:00:00 - 13/01/2024 18:00:00","BZN|NO3","Without sequence","62.08","",""
"13/01/2024 18:00:00 - 13/01/2024 19:00:00","BZN|NO3","Without sequence","56.07","",""
"13/01/2024 19:00:00 - 13/01/2024 20:00:00","BZN|NO3","Without sequence","55.79","",""
"13/01/2024 20:00:00 - 13/01/2024 21:00:00","BZN|NO3","Without sequence","56.29","",""
"13/01/2024 21:00:00 - 13/01/2024 22:00:00","BZN|NO3","Without sequence","59.15","",""
"13/01/2024 22:00:00 - 13/01/2024 23:00:00","BZN|NO3","Without sequence","62.76","",""
"13/01/2024 23:00:00 - 14/01/2024 00:00:00","BZN|NO3","Without sequence","61.65","",""
