Hour;Total_Consumption
0;1.8375
1;1.42
2;1.3729166666666666
3;1.9716666666666667
4;2.2591666666666668
5;2.246666666666667
6;2.2687500000000003
7;2.3533333333333335
8;2.1504166666666666
9;1.1445833333333333
10;0.5741666666666667
11;0.5633333333333335
12;0.5550000000000002
13;0.5583333333333332
14;3.3162500000000006
15;4.6137500000000005
16;3.615
17;4.228750000000001
18;4.754166666666667
19;4.771666666666667
20;3.712083333333334
21;3.83
22;1.4783333333333335
23;0.6670833333333334
24;0.6479166666666666
25;0.64
26;0.6404166666666666
27;2.022916666666667
28;2.2950000000000004
29;2.3395833333333336
30;3.331666666666667
31;2.350416666666667
32;3.0525
33;4.003333333333334
34;5.184583333333333
35;5.2908333333333335
36;5.3254166666666665
37;6.065416666666667
38;4.044583333333334
39;3.83
40;1.9591666666666667
41;10.535416666666666
42;10.900416666666667
43;10.150833333333335
44;6.754166666666666
45;2.220416666666667
46;1.2495833333333335
47;0.6012500000000001
48;0.5983333333333333
49;0.9108333333333333
50;1.4166666666666667
51;2.2475
52;2.2433333333333336
53;2.224166666666667
54;2.67375
55;2.764583333333333
56;1.962083333333333
57;0.5233333333333334
58;0.5291666666666667
59;0.5345833333333333
60;0.5345833333333331
61;0.5341666666666665
62;0.5358333333333332
63;0.5125000000000001
64;1.33875
65;2.476666666666667
66;2.8941666666666666
67;2.9995833333333333
68;3.565
69;2.3875
70;1.0695833333333333
71;0.6379166666666667
72;0.6287499999999999
73;0.6187499999999999
74;0.62125
75;1.1058333333333332
76;2.2641666666666667
77;2.427916666666667
78;2.91
79;2.1137499999999996
80;1.499583333333333
81;0.5241666666666667
82;0.5391666666666669
83;0.53875
84;0.5416666666666667
85;0.5316666666666667
86;0.5195833333333333
87;0.5095833333333333
88;1.89375
89;5.57625
90;2.804166666666667
91;2.3091666666666666
92;1.5041666666666669
93;0.6404166666666666
94;0.8320833333333333
95;0.6333333333333333
96;0.61875
97;0.6183333333333333
98;0.6224999999999999
99;0.6195833333333334
100;1.7804166666666665
101;2.3679166666666664
102;3.04875
103;1.7920833333333335
104;0.9520833333333334
105;0.45124999999999993
106;0.48583333333333334
107;0.49000000000000027
108;0.4920833333333334
109;0.4887500000000002
110;0.48416666666666686
111;0.4570833333333333
112;1.4191666666666665
113;4.9087499999999995
114;5.408333333333334
115;8.767083333333334
116;9.298333333333336
117;9.895833333333332
118;2.5958333333333337
119;2.1075000000000004
120;1.846666666666667
121;0.6625000000000001
122;0.6525000000000001
123;0.6454166666666666
124;0.6420833333333333
125;1.6133333333333333
126;1.0983333333333334
127;3.3720833333333333
128;5.5304166666666665
129;3.305
130;2.5008333333333335
131;3.6795833333333334
132;1.5445833333333334
133;0.65875
134;0.53375
135;3.0341666666666667
136;8.06375
137;5.645833333333334
138;3.0608333333333335
139;3.2108333333333334
140;2.7620833333333334
141;3.7004166666666665
142;4.87375
143;2.569583333333333
144;0.7829166666666667
145;0.76875
146;0.7654166666666666
147;0.7633333333333334
148;0.7625000000000001
149;0.7625000000000001
150;1.3575000000000002
151;2.222916666666667
152;2.6175
153;2.83
154;2.15625
155;2.0125
156;1.8029166666666665
157;1.79375
158;1.8283333333333331
159;1.8800000000000001
160;1.9254166666666666
161;2.1425000000000005
162;2.5287500000000005
163;3.06875
164;2.7920833333333337
165;1.4983333333333333
166;0.6795833333333333
167;0.5974999999999999
168;0.5525
169;0.5466666666666666
170;0.5383333333333333
171;0.6158333333333333
172;0.8145833333333333
173;1.1004166666666668
174;1.7779166666666666
175;1.5799999999999998
176;1.3175
177;0.8629166666666667
178;0.89875
179;0.8820833333333336
180;0.8983333333333334
181;0.64
182;0.5875000000000001
183;0.5600000000000002
184;0.5833333333333333
185;1.3158333333333332
186;1.4583333333333333
187;1.4608333333333334
188;1.5929166666666668
189;1.4358333333333333
190;0.7125
191;0.5933333333333333
192;0.5604166666666666
193;0.56375
194;0.555
195;0.5525
196;0.5504166666666667
197;2.2295833333333333
198;2.7225
199;1.1920833333333334
200;1.0916666666666666
201;0.4712499999999998
202;0.5179166666666668
203;0.5624999999999997
204;0.47875
205;0.48291666666666655
206;0.4695833333333333
207;0.45125
208;6.504166666666666
209;7.667083333333332
210;1.7508333333333335
211;0.8195833333333334
212;0.8091666666666667
213;4.775416666666666
214;7.759166666666667
215;4.382083333333333
216;0.7033333333333334
217;0.5775
218;0.5691666666666667
219;0.56875
220;0.5666666666666667
221;1.9000000000000004
222;2.296666666666667
